Dates;PETR4 BZ Equity;VALE3 BZ Equity;ITUB4 BZ Equity;BBDC4 BZ Equity;SUZB3 BZ Equity;CYRE3 BZ Equity;EMBR3 BZ Equity;SOMA3 BZ Equity;SMFT3 BZ Equity;JBSS3 BZ Equity;GGBR4 BZ Equity;CPLE6 BZ Equity;RENT3 BZ Equity;IBOV Index
26/01/2024;0,01716347;0,016538894;0,014737755;0,010362787;0,020237422;-0,013913268;-0,014184635;-0,012866511;0,007223145;0,005768454;0,002751033;0,001988072;-0,036992999;0,00621144
29/01/2024;0,015149923;-0,00475951;-0,005194817;-0,009061551;-0,040696002;-0,012778319;-0,003577821;-0,021819047;-0,008432092;-0,024117593;-0,022223137;-0,003980105;-0,014158417;-0,003609434
30/01/2024;-0,006181253;-0,005654238;-0,00645461;-0,007177845;0,025268594;-0,017446204;0,024342871;-0,00294551;-0,014622519;-0,009727292;-0,004222385;-0,008008051;-0,017464986;-0,008603654
31/01/2024;0,00321902;-0,014940955;0,010734653;0,005225355;-0,009255754;0,008984786;-0,00394305;0,155414104;-0,007804517;-0,00425895;-0,010891253;0,017928767;-0,006809338;0,002747126
01/02/2024;0,02731211;-0,004585468;-0,002749353;-0,00195631;-0,010124697;0,011560822;-0,013701872;-0,016550346;0,017171313;-0,014184635;-0,003313531;0,010800301;0,006625413;0,005688113
02/02/2024;-0,013075247;-0,020520453;0,001528351;0;0,004685678;-0,004430667;-0,001336006;-0,010322672;-0,006914813;-0,004338402;0,023582397;-0,017734455;-0,017030056;-0,010160092
05/02/2024;0,004377439;-0,008663326;0,018760006;0,02003298;0,007954257;-0,017469649;0,011519844;-0,069827016;0,016194686;0,019802627;-0,006110741;0,007920833;0,003362164;0,003228254
06/02/2024;0,009178808;0,017552274;0,041972412;0,060210551;0,037174772;0,025871202;-0,039079754;0;-0,021104679;0,012285687;0,018110885;0,012739026;-0,019735872;0,021882368
07/02/2024;0,014560467;0,001948004;-0,007211916;-0,173206598;-0,000186202;0,015294159;-0,006433846;0,005547864;0,011013776;-0,009306328;0,002316731;0,000973236;0,015625023;-0,003582727
08/02/2024;-0,008089504;-0,008871572;-0,019883696;-0,029071815;-0,004666364;-0,016175216;0,010548137;-0,018144252;-0,006920443;-0,022781987;-0,019921643;-0,020639553;-0,016386073;-0,013425475
